TPR,PPID,Station,Date
RLC_SH,CN02WCVJCMK0087B0013,OBA,2020-11-26
RLC_SH,CN03YC671296388U018D,OBA,2020-11-26
RLC_SH,CN04F05J129639CB0102,OBA,2020-11-26
RLC_SH,CN04WNH0CMK0087EA37D,OBA,2020-11-26
RLC_SH,CN05M4CJ129637B500E5,OBA,2020-11-26
RLC_SH,CN0643X512963829003F,OBA,2020-11-26
RLC_SH,CN07714X129639B200DD,OBA,2020-11-26
RLC_SH,CN095VD81296396T0090,OBA,2020-11-26
RLC_SH,CN09TJV5129636CRA00E,OBA,2020-11-26
RLC_SH,CN0CJ0VT1296386O00E7,OBA,2020-11-26
RLC_SH,CN0CJ0VT1296391D0208,OBA,2020-11-26
RLC_SH,CN0D7RWT12963089002D,OBA,2020-11-26
RLC_SH,CN0F31KV1296383703C4,OBA,2020-11-26
RLC_SH,CN0M51N8CMK00062A006,OBA,2020-11-26
RLC_SH,CN0M51N8CMK000A8A1DE,OBA,2020-11-26
RLC_SH,CN0MJVNX1296302305A7,OBA,2020-11-26
RLC_SH,CN0N9F81129637AP0106,OBA,2020-11-26
RLC_SH,CN0NPPYW12963876001D,OBA,2020-11-26
RLC_SH,CN0NPPYW1296389C031F,OBA,2020-11-26
RLC_SH,CN0PYFV6129638880001,OBA,2020-11-26
RLC_SH,CN0TW82J1296396F03C9,OBA,2020-11-26
RLC_SH,CN0WH66RCMK009A9014B,OBA,2020-11-26
RLC_SH,CN0WHPNWCMK0091E0045,OBA,2020-11-26
